Date (full),Date (day),Time (cdt),Wind (mph),Vis (mi),Weather,Sky Cond,Air Temp (F),Dew Pt (F),6hr Max (F),6hr Min (F),Relative Humidity,Wind Chill (F),Heat Index (F),Altimeter (inHg),Sea Level (mb),Precip 1hr (in),Precip 3hr (in),Precip 6hr (in)
2026-05-30,30,02:53,SW 15 G 21,10.00,Thunderstorm in Vicinity Light Rain,SCT120,69.1,64.9,,,87%,,,29.84,1009.4,,,
2026-05-30,30,01:53,E 3,9.00,Fair,CLR,70,69.1,,,97%,,,29.82,1008.9,,,
2026-05-30,30,00:53,SE 5,10.00,A Few Clouds,FEW070,72,71.1,75.9,72,97%,,,29.83,1009.2,,,
2026-05-29,29,23:53,SE 9,10.00,Fair,CLR,73,71.1,,,94%,,,29.84,1009.5,,,
2026-05-29,29,22:53,E 5,10.00,Fair,CLR,73.9,71.1,,,91%,,,29.83,1009.4,,,
2026-05-29,29,21:53,S 5,10.00,Partly Cloudy,SCT065,75,71.1,,,88%,,75,29.83,1009.1,,,
2026-05-29,29,20:53,SE 9,10.00,Mostly Cloudy,BKN075,75,70,,,84%,,75,29.81,1008.6,,,
2026-05-29,29,19:53,S 6,10.00,Partly Cloudy,SCT085,75,69.1,,,82%,,75,29.81,1008.5,,,
2026-05-29,29,18:53,S 8,10.00,Fair,CLR,75.9,66.9,84,75,74%,,77,29.8,1008.3,,,
2026-05-29,29,17:53,S 9,10.00,A Few Clouds,FEW045,80.1,66.9,,,64%,,82,29.82,1008.7,,,
2026-05-29,29,16:53,S 15 G 20,10.00,Mostly Cloudy,SCT036 BKN046,82.9,70,,,65%,,87,29.82,1008.8,,,
2026-05-29,29,15:53,S 13,10.00,Partly Cloudy,FEW034 SCT047,81,70,,,69%,,84,29.84,1009.4,,,
2026-05-29,29,14:53,S 16 G 23,10.00,Mostly Cloudy,FEW029 SCT035 BKN060,81,69.1,,,67%,,84,29.86,1010.0,,,
2026-05-29,29,13:53,S 12 G 22,10.00,Partly Cloudy,SCT025 SCT065,81,70,,,69%,,84,29.88,1010.7,,,
2026-05-29,29,12:53,S 9,10.00,Partly Cloudy,FEW019 SCT090,79,69.1,79,69.1,72%,,82,29.9,1011.4,,,
2026-05-29,29,11:53,S 8,10.00,Overcast,FEW017 BKN024 OVC080,75,68,,,79%,,76,29.93,1012.6,,,
2026-05-29,29,10:53,S 10,10.00,Mostly Cloudy,BKN015 BKN021,73.9,68,,,82%,,,29.93,1012.7,,,
2026-05-29,29,09:53,S 8,10.00,Overcast,OVC011,71.1,66.9,,,87%,,,29.95,1013.3,,,
2026-05-29,29,08:53,S 12,10.00,Overcast,OVC010,70,66.9,,,90%,,,29.95,1013.4,,,
2026-05-29,29,07:53,S 12,10.00,Overcast,OVC010,70,66.9,,,90%,,,29.94,1013.1,,,
2026-05-29,29,06:53,S 8,10.00,Light Rain,BKN009 BKN016 OVC023,69.1,66.9,70,69.1,93%,,,29.94,1013.1,,,
2026-05-29,29,05:53,S 12,10.00,Overcast,OVC015,70,66.9,,,90%,,,29.93,1012.8,,,
2026-05-29,29,04:53,S 6,10.00,Overcast,OVC009,69.1,66.9,,,93%,,,29.92,1012.6,,,
2026-05-29,29,03:53,SE 8,10.00,Overcast,FEW011 OVC021,70,68,,,93%,,,29.93,1012.5,,,
2026-05-29,29,02:53,SE 9,10.00,Overcast,SCT016 SCT024 OVC065,69.1,66.9,,,93%,,,29.93,1012.9,,,
2026-05-29,29,01:53,SE 8,10.00,Mostly Cloudy,SCT012 SCT017 BKN023,70,66.9,,,90%,,,29.94,1013.1,,,
2026-05-29,29,00:53,SE 10,10.00,Mostly Cloudy,BKN016,70,66.9,72,70,90%,,,29.95,1013.5,,,0.01
2026-05-28,28,23:53,SE 13 G 21,10.00,Overcast,BKN013 OVC019,70,66.9,,,90%,,,29.96,1013.6,,,
2026-05-28,28,22:53,SE 13,10.00,Mostly Cloudy,BKN013 BKN075 BKN090,70,66.9,,,90%,,,29.96,1013.9,,,
2026-05-28,28,21:53,SE 15 G 22,10.00,Mostly Cloudy,BKN014,70,66.9,,,90%,,,29.95,1013.6,,0.01,
2026-05-28,28,20:53,E 14,10.00,Mostly Cloudy,SCT010 BKN015 BKN055,70,68,,,93%,,,29.93,1012.9,0.01,,
2026-05-28,28,19:53,SE 13 G 23,10.00,Light Rain,BKN015,71.1,68,,,90%,,,29.94,1013.1,,,
2026-05-28,28,18:53,E 18 G 25,10.00,Overcast,SCT014 BKN055 OVC095,72,68,77,72,87%,,,29.93,1013.0,,,
2026-05-28,28,17:53,E 21 G 26,10.00,Mostly Cloudy and Breezy,BKN017 BKN120,72,66.9,,,84%,,,29.93,1013.0,,,
2026-05-28,28,16:53,E 17 G 25,9.00,Light Rain,FEW020 BKN080 BKN100,73.9,69.1,,,85%,,,29.93,1012.9,,,
2026-05-28,28,15:53,E 17 G 25,10.00,Partly Cloudy,SCT022 SCT027,75.9,68,,,77%,,77,29.95,1013.4,,,
2026-05-28,28,14:53,E 15,10.00,Mostly Cloudy,BKN016 BKN021,75,68,,,79%,,76,29.96,1013.6,,,
2026-05-28,28,13:53,SE 16,10.00,Mostly Cloudy,FEW015 BKN020 BKN025,73.9,68,,,82%,,,29.97,1014.1,,,
2026-05-28,28,12:53,E 17,10.00,Light Rain,BKN015 BKN020 OVC030,72,69.1,73,66.9,91%,,,29.98,1014.5,,,0.04
2026-05-28,28,11:53,E 14,10.00,Light Rain,BKN011 BKN017 OVC023,71.1,69.1,,,94%,,,29.99,1014.9,0.01,,
2026-05-28,28,10:53,E 13,10.00,Light Rain,BKN012 OVC017,71.1,69.1,,,94%,,,30,1015.3,,,
2026-05-28,28,09:53,E 14,10.00,Mostly Cloudy,FEW008 BKN038 BKN048,70,66.9,,,90%,,,30,1015.1,,0.03,
2026-05-28,28,08:53,E 13,8.00,Light Rain,BKN065 OVC080,68,66,,,93%,,,30,1015.2,0.01,,
2026-05-28,28,07:53,NE 6,7.00,Light Rain,BKN090 OVC110,68,66,,,93%,,,29.99,1014.5,0.02,,
2026-05-28,28,06:53,E 9,10.00,Overcast,BKN070 BKN090 OVC110,68,66,71.1,66.9,93%,,,29.98,1014.3,,,0.05
